,Rate
AED,3.977945
AFN,78.51739
ALL,103.699595
AMD,437.769249
ANG,1.952844
AOA,901.614304
ARS,891.342388
AUD,1.647091
AWG,1.953506
AZN,1.839188
BAM,1.945087
BBD,2.18777
BDT,118.913385
BGN,1.954621
BHD,0.408185
BIF,3097.992331
BMD,1.083025
BND,1.451207
BOB,7.486695
BRL,5.331078
BSD,1.083532
BTC,2.7162134e-05
BTN,90.051104
BWP,14.751748
BYN,3.545969
BYR,21227.285331
BZD,2.18407
CAD,1.462035
CDF,2954.491237
CHF,0.939876
CLF,0.035696
CLP,984.957151
CNY,7.684931
COP,4268.742099
CRC,555.440665
CUC,1.083025
CUP,28.700156
CVE,110.306014
CZK,24.746858
DJF,192.474615
DKK,7.453626
DOP,63.708909
DZD,145.892122
EGP,33.471205
ERN,16.245371
ETB,61.082317
EUR,1.0
FJD,2.447912
FKP,0.849332
GBP,0.853088
GEL,2.897092
GGP,0.849332
GHS,13.170056
GIP,0.849332
GMD,72.942322
GNF,9314.013191
GTQ,8.473329
GYD,226.866244
HKD,8.466795
HNL,26.761764
HRK,7.451557
HTG,142.579944
HUF,385.446887
IDR,17140.8163
ILS,4.005897
IMP,0.849332
INR,90.010623
IQD,1419.30395
IRR,45527.647123
ISK,148.103799
JEP,0.849332
JMD,168.710751
JOD,0.768299
JPY,160.115456
KES,177.074967
KGS,96.736047
KHR,4425.239505
KMF,491.855607
KPW,974.734396
KRW,1447.354154
KWD,0.333279
KYD,0.902927
KZT,485.794273
LAK,22429.442589
LBP,16277.862054
LKR,345.119104
LRD,205.287694
LSL,20.458308
LTL,3.197891
LVL,0.65511
LYD,5.214791
MAD,10.811293
MDL,19.178367
MGA,4927.762257
MKD,61.487232
MMK,2275.367407
MNT,3708.588448
MOP,8.723352
MRU,42.833907
MUR,48.202826
MVR,16.67476
MWK,1822.193825
MXN,18.664361
MYR,5.124328
MZN,68.769538
NAD,20.458401
NGN,962.266768
NIO,39.801276
NOK,11.330627
NPR,144.081408
NZD,1.773756
OMR,0.416901
PAB,1.083532
PEN,4.072401
PGK,4.005568
PHP,61.08479
PKR,303.328152
PLN,4.376373
PYG,7906.451718
QAR,3.942745
RON,4.97596
RSD,117.207111
RUB,4868.190917
RWF,1381.398084
SAR,4.061543
SBD,9.136611
SCR,14.522337
SDG,650.898074
SEK,11.330307
SGD,1.45252
SHP,1.374738
SLE,24.943604
SLL,21389.738733
SOS,618.407047
SRD,39.891072
STD,22416.425951
SYP,14081.285077
SZL,20.458361
THB,38.740132
TJS,11.832184
TMT,3.801417
TND,3.368744
TOP,2.561733
TRY,32.761175
TTD,7.365432
TWD,33.947394
TZS,2723.807249
UAH,40.76119
UGX,4131.283275
USD,1.083025
UYU,41.938425
UZS,13456.583083
VEF,3904810.938551
VES,39.065873
VND,26664.069636
VUV,130.747299
WST,2.982713
XAF,652.363818
XAG,0.047564
XAU,0.000538
XCD,2.926928
XDR,0.813917
XOF,651.430601
XPF,119.331742
YER,271.134875
ZAR,20.476154
ZMK,9748.520172
ZMW,29.06564
ZWL,348.733531
